{13.0f,
{-163.79999f, 187.2f,1495.0f,119.6f,  0.0f,153.4f},
{-397.8f, 130.0f,1284.3999f,262.59998f,  0.0f,80.6f},
{-223.599991f, 197.599991f,904.8f,145.59999f,  0.0f,140.4f},
{200000.0f,{40.0f,0.0f,0.0f},{-561.6f,119.6f,600.6f,319.8f,338.0f,104.0f}},
{200000.0f,{40.0f,0.0f,0.0f},{-561.6f,119.6f,600.6f,319.8f,-338.0f,104.0f}},
{-78.0f, 231.4f,577.19995f,184.599991f,  0.0f,189.799988f},
{26.0f, 754.0f,140.4f,267.8f,  0.0f,215.799988f},
{-556.39996f, 260.0f,491.4f,226.2f,  0.0f,179.4f},
{-213.2f, 200.2f,473.199982f,231.4f,  613.6f,187.2f},
{-213.2f, 200.2f,473.199982f,231.4f,  -613.6f,187.2f},
{-351.0f, 694.199951f,33.8f,208.0f,  572.0f,306.8f},
{-351.0f, 694.199951f,33.8f,208.0f,  -572.0f,306.8f},
{-896.99994f, 244.4f,863.199951f,171.599991f,  0.0f,93.6f},
}
